Artform,Year,Income,Age,Education
Craft Fair,1992,4,22,5
Dance,1992,4,36,6
Art Museum,1992,4,36,6
Craft Fair,1992,4,36,6
Craft Fair,1992,5,66,3
Jazz,1992,5,58,3
Play,1992,5,58,3
Dance,1992,5,58,3
Art Museum,1992,5,58,3
Craft Fair,1992,5,58,3
Parks,1992,5,58,3
Classical,1992,11,36,3
Musical,1992,11,36,3
Craft Fair,1992,11,36,3
Parks,1992,11,36,3
Musical,1992,11,42,4
Craft Fair,1992,11,42,4
Parks,1992,11,42,4
Art Museum,1992,8,31,3
Craft Fair,1992,8,31,3
Parks,1992,8,31,3
Art Museum,1992,8,28,3
Craft Fair,1992,8,28,3
Craft Fair,1992,8,45,3
Parks,1992,8,45,3
Jazz,1992,9,67,6
Play,1992,9,67,6
Art Museum,1992,9,67,6
Jazz,1992,9,81,3
Play,1992,9,81,3
Art Museum,1992,9,81,3
Craft Fair,1992,8,74,3
Craft Fair,1992,8,80,3
Craft Fair,1992,3,69,2
Jazz,1992,6,78,4
Classical,1992,6,78,4
Play,1992,6,78,4
Craft Fair,1992,6,78,4
Parks,1992,6,78,4
Classical,1992,11,77,4
Play,1992,11,77,4
Dance,1992,11,77,4
Art Museum,1992,11,77,4
Parks,1992,11,77,4
Jazz,1992,9,40,4
Classical,1992,9,40,4
Art Museum,1992,9,40,4
Craft Fair,1992,9,40,4
Parks,1992,9,40,4
Art Museum,1992,9,30,4
Parks,1992,9,30,4
Parks,1992,9,55,3
Parks,1992,9,57,3
Craft Fair,1992,8,35,4
Parks,1992,8,35,4
Jazz,1992,13,28,5
Musical,1992,13,28,5
Ballet,1992,13,28,5
Art Museum,1992,13,28,5
Craft Fair,1992,13,28,5
Parks,1992,13,28,5
Jazz,1992,13,29,5
Classical,1992,13,29,5
Musical,1992,13,29,5
Dance,1992,13,29,5
Art Museum,1992,13,29,5
Craft Fair,1992,13,29,5
Parks,1992,13,29,5
Play,1992,-3,41,5
Art Museum,1992,-3,41,5
Craft Fair,1992,-3,41,5
Parks,1992,-3,41,5
Musical,1992,-3,37,5
Art Museum,1992,-3,37,5
Craft Fair,1992,-3,37,5
Parks,1992,-3,37,5
Classical,1992,13,29,6
Classical,1992,13,27,6
Art Museum,1992,13,27,6
Craft Fair,1992,13,27,6
Parks,1992,13,27,6
Art Museum,1992,18,32,4
Craft Fair,1992,18,32,4
Craft Fair,1992,18,43,5
Parks,1992,18,43,5
Classical,1992,13,40,4
Art Museum,1992,13,40,4
Craft Fair,1992,13,40,4
Classical,1992,13,38,3
Art Museum,1992,13,38,3
Craft Fair,1992,13,38,3
Musical,1992,1,22,4
Dance,1992,1,22,4
Art Museum,1992,1,22,4
Craft Fair,1992,1,22,4
Parks,1992,-3,29,3
Jazz,1992,6,41,4
Craft Fair,1992,6,41,4
Craft Fair,1992,3,62,3
Craft Fair,1992,3,28,4
Parks,1992,3,28,4
Craft Fair,1992,11,28,3
Parks,1992,11,28,3
Craft Fair,1992,11,26,4
Art Museum,1992,11,23,3
Craft Fair,1992,11,23,3
Parks,1992,11,23,3
Craft Fair,1992,11,26,5
Jazz,1992,11,34,5
Play,1992,11,34,5
Art Museum,1992,11,34,5
Craft Fair,1992,11,34,5
Parks,1992,11,34,5
Jazz,1992,-3,33,4
Musical,1992,-3,33,4
Craft Fair,1992,-3,33,4
Art Museum,1992,10,37,4
Craft Fair,1992,10,37,4
Parks,1992,10,37,4
Classical,1992,7,21,5
Musical,1992,7,21,5
Craft Fair,1992,7,21,5
Classical,1992,7,19,4
Musical,1992,7,19,4
Play,1992,7,19,4
Dance,1992,7,19,4
Art Museum,1992,7,19,4
Craft Fair,1992,7,19,4
Parks,1992,7,19,4
Classical,1992,7,44,5
Musical,1992,7,44,5
Dance,1992,7,44,5
Art Museum,1992,7,44,5
Craft Fair,1992,7,44,5
Parks,1992,7,44,5
Craft Fair,1992,8,21,4
Parks,1992,8,21,4
Art Museum,1992,7,29,4
Craft Fair,1992,7,29,4
Parks,1992,7,29,4
Jazz,1992,13,44,5
Classical,1992,13,44,5
Musical,1992,13,44,5
Play,1992,13,44,5
Art Museum,1992,13,44,5
Craft Fair,1992,13,44,5
Parks,1992,13,44,5
Opera,1992,13,42,6
Musical,1992,13,42,6
Play,1992,13,42,6
Ballet,1992,13,42,6
Art Museum,1992,13,42,6
Craft Fair,1992,13,42,6
Parks,1992,13,42,6
Opera,1992,11,23,3
Musical,1992,11,23,3
Ballet,1992,11,23,3
Dance,1992,11,23,3
Craft Fair,1992,11,23,3
Dance,1992,11,28,4
Craft Fair,1992,11,28,4
Parks,1992,11,28,4
Classical,1992,9,71,6
Opera,1992,9,71,6
Art Museum,1992,9,71,6
Craft Fair,1992,9,71,6
Parks,1992,9,71,6
Jazz,1992,9,69,6
Classical,1992,9,69,6
Opera,1992,9,69,6
Musical,1992,9,69,6
Play,1992,9,69,6
Craft Fair,1992,9,69,6
Parks,1992,9,69,6
Jazz,1992,9,64,6
Classical,1992,9,64,6
Opera,1992,9,64,6
Musical,1992,9,64,6
Play,1992,9,64,6
Dance,1992,9,64,6
Craft Fair,1992,9,64,6
Play,1992,6,55,3
Art Museum,1992,6,55,3
Craft Fair,1992,6,55,3
Parks,1992,6,55,3
Craft Fair,1992,8,60,3
Parks,1992,6,51,2
Craft Fair,1992,7,35,4
Parks,1992,7,35,4
Craft Fair,1992,7,51,-1
Parks,1992,7,51,-1
Art Museum,1992,5,26,3
Craft Fair,1992,5,26,3
Art Museum,1992,5,27,2
Craft Fair,1992,5,27,2
Craft Fair,1992,11,41,3
Parks,1992,11,41,3
Craft Fair,1992,11,20,4
Classical,1992,3,82,4
Musical,1992,3,82,4
Play,1992,3,82,4
Art Museum,1992,3,82,4
Craft Fair,1992,3,82,4
Parks,1992,3,82,4
Jazz,1992,11,31,4
Play,1992,11,31,4
Craft Fair,1992,11,31,4
Parks,1992,11,31,4
Jazz,1992,11,41,5
Play,1992,11,41,5
Craft Fair,1992,11,41,5
Parks,1992,11,41,5
Classical,1992,7,61,3
Musical,1992,7,61,3
Play,1992,7,61,3
Art Museum,1992,7,61,3
Craft Fair,1992,7,61,3
Jazz,1992,-3,31,3
Art Museum,1992,-3,31,3
Craft Fair,1992,-3,31,3
Parks,1992,-3,31,3
Jazz,1992,11,43,4
Classical,1992,11,43,4
Musical,1992,11,43,4
Art Museum,1992,11,43,4
Craft Fair,1992,11,43,4
Parks,1992,11,43,4
Craft Fair,1992,11,22,2
Parks,1992,11,22,2
Parks,1992,11,46,4
Craft Fair,1992,11,20,3
Craft Fair,1992,9,51,4
Parks,1992,9,51,4
Play,1992,-3,27,6
Craft Fair,1992,-3,27,6
Parks,1992,-3,27,6
Jazz,1992,-3,51,4
Musical,1992,-3,51,4
Play,1992,-3,51,4
Craft Fair,1992,-3,51,4
Parks,1992,-3,51,4
Jazz,1992,-3,50,6
Musical,1992,-3,50,6
Play,1992,-3,50,6
Dance,1992,-3,50,6
Art Museum,1992,-3,50,6
Craft Fair,1992,-3,50,6
Parks,1992,-3,50,6
Craft Fair,1992,6,34,3
Parks,1992,6,34,3
Parks,1992,6,30,4
Parks,1992,10,35,2
Classical,1992,-3,20,4
Craft Fair,1992,-3,20,4
Parks,1992,-3,20,4
Craft Fair,1992,8,36,6
Parks,1992,8,36,6
Classical,1992,13,30,4
Art Museum,1992,13,30,4
Craft Fair,1992,13,30,4
Parks,1992,13,30,4
Dance,1992,10,48,3
Craft Fair,1992,10,48,3
Parks,1992,10,48,3
Craft Fair,1992,4,43,6
Art Museum,1992,6,23,3
Craft Fair,1992,6,23,3
Parks,1992,6,23,3
Art Museum,1992,6,24,3
Craft Fair,1992,6,24,3
Parks,1992,6,24,3
Classical,1992,-3,66,3
Musical,1992,-3,66,3
Dance,1992,-3,66,3
Craft Fair,1992,-3,66,3
Musical,1992,-3,69,3
Dance,1992,-3,69,3
Craft Fair,1992,-3,69,3
Parks,1992,-3,78,4
Craft Fair,1992,6,30,3
Craft Fair,1992,6,29,3
Musical,1992,-3,54,5
Dance,1992,-3,54,5
Art Museum,1992,-3,54,5
Craft Fair,1992,-3,54,5
Craft Fair,1992,7,54,4
Craft Fair,1992,7,53,5
Craft Fair,1992,9,69,3
Parks,1992,9,69,3
Craft Fair,1992,9,63,3
Parks,1992,9,63,3
Musical,1992,11,40,3
Dance,1992,11,40,3
Art Museum,1992,11,40,3
Craft Fair,1992,11,40,3
Parks,1992,11,40,3
Craft Fair,1992,11,45,3
Jazz,1992,7,25,3
Craft Fair,1992,7,25,3
Parks,1992,7,25,3
Jazz,1992,7,24,3
Craft Fair,1992,7,24,3
Parks,1992,7,24,3
Craft Fair,1992,-3,43,3
Parks,1992,11,35,6
Classical,1992,7,69,3
Dance,1992,7,69,3
Craft Fair,1992,7,69,3
Parks,1992,7,69,3
Classical,1992,7,73,4
Craft Fair,1992,7,73,4
Parks,1992,7,73,4
Jazz,1992,6,67,2
Craft Fair,1992,6,67,2
Jazz,1992,6,69,2
Craft Fair,1992,6,69,2
Parks,1992,6,69,2
Musical,1992,8,32,5
Ballet,1992,8,32,5
Craft Fair,1992,8,32,5
Parks,1992,8,32,5
Ballet,1992,8,35,6
Craft Fair,1992,8,35,6
Parks,1992,8,35,6
Parks,1992,10,37,5
Craft Fair,1992,10,35,4
Parks,1992,10,35,4
Jazz,1992,18,40,4
Play,1992,18,40,4
Art Museum,1992,18,40,4
Craft Fair,1992,18,40,4
Parks,1992,18,40,4
Jazz,1992,11,55,4
Play,1992,11,55,4
Art Museum,1992,11,55,4
Craft Fair,1992,11,55,4
Parks,1992,11,55,5
Art Museum,1992,8,31,4
Craft Fair,1992,11,71,3
Parks,1992,11,71,3
Craft Fair,1992,11,78,6
Parks,1992,11,78,6
Classical,1992,13,37,5
Play,1992,13,37,5
Ballet,1992,13,37,5
Art Museum,1992,13,37,5
Craft Fair,1992,13,37,5
Play,1992,13,36,6
Art Museum,1992,13,36,6
Craft Fair,1992,13,36,6
Parks,1992,13,36,6
Classical,1992,11,51,6
Play,1992,11,51,6
Dance,1992,11,51,6
Art Museum,1992,11,51,6
Craft Fair,1992,11,51,6
Parks,1992,11,51,6
Classical,1992,1,40,6
Art Museum,1992,1,40,6
Craft Fair,1992,1,40,6
Parks,1992,1,40,6
Classical,1992,1,41,6
Play,1992,1,41,6
Art Museum,1992,1,41,6
Craft Fair,1992,1,41,6
Parks,1992,1,41,6
Opera,1992,18,42,4
Musical,1992,18,42,4
Art Museum,1992,18,42,4
Craft Fair,1992,18,42,4
Parks,1992,18,42,4
Musical,1992,18,45,6
Parks,1992,18,45,6
Art Museum,1992,11,32,5
Craft Fair,1992,11,32,5
Parks,1992,11,32,5
Art Museum,1992,11,37,5
Craft Fair,1992,11,37,5
Parks,1992,11,37,5
Play,1992,11,53,5
Art Museum,1992,11,53,5
Craft Fair,1992,11,53,5
Parks,1992,11,53,5
Craft Fair,1992,11,53,4
Parks,1992,11,53,4
Jazz,1992,13,32,5
Play,1992,13,32,5
Dance,1992,13,32,5
Art Museum,1992,13,32,5
Craft Fair,1992,13,32,5
Parks,1992,13,32,5
Jazz,1992,13,31,6
Dance,1992,13,31,6
Art Museum,1992,13,31,6
Craft Fair,1992,13,31,6
Classical,1992,7,75,6
Opera,1992,7,75,6
Art Museum,1992,7,75,6
Craft Fair,1992,7,75,6
Parks,1992,7,75,6
Classical,1992,7,76,5
Opera,1992,7,76,5
Art Museum,1992,7,76,5
Craft Fair,1992,7,76,5
Parks,1992,7,76,5
Craft Fair,1992,18,47,4
Craft Fair,1992,18,48,5
Jazz,1992,13,41,6
Classical,1992,13,41,6
Musical,1992,13,41,6
Ballet,1992,13,41,6
Art Museum,1992,13,41,6
Craft Fair,1992,13,41,6
Parks,1992,13,41,6
Musical,1992,13,34,6
Musical,1992,13,35,4
Craft Fair,1992,10,66,2
Parks,1992,10,66,2
Dance,1992,10,64,4
Art Museum,1992,11,45,5
Craft Fair,1992,11,45,5
Parks,1992,11,45,5
Art Museum,1992,11,46,5
Parks,1992,11,46,5
Art Museum,1992,13,39,5
Craft Fair,1992,13,39,5
Craft Fair,1992,2,73,3
Classical,1992,4,23,5
Play,1992,4,23,5
Art Museum,1992,4,23,5
Craft Fair,1992,4,23,5
Parks,1992,4,23,5
Art Museum,1992,4,21,5
Craft Fair,1992,4,21,5
Parks,1992,4,21,5
Musical,1992,4,21,4
Craft Fair,1992,4,21,4
Parks,1992,4,21,4
Craft Fair,1992,4,21,4
Parks,1992,4,21,4
Art Museum,1992,1,20,3
Craft Fair,1992,1,20,3
Play,1992,1,19,3
Musical,1992,9,53,4
Play,1992,9,53,4
Art Museum,1992,9,53,4
Craft Fair,1992,9,53,4
Parks,1992,9,53,4
Parks,1992,4,21,1
Play,1992,-3,68,4
Dance,1992,6,36,4
Art Museum,1992,6,36,4
Craft Fair,1992,6,36,4
Parks,1992,6,36,4
Musical,1992,6,29,4
Dance,1992,6,29,4
Craft Fair,1992,6,29,4
Craft Fair,1992,11,26,4
Parks,1992,11,26,4
Craft Fair,1992,11,27,5
Parks,1992,11,27,5
Art Museum,1992,2,19,2
Art Museum,1992,2,30,3
Craft Fair,1992,4,35,5
Craft Fair,1992,4,41,4
Parks,1992,4,41,4
Jazz,1992,6,40,6
Classical,1992,6,40,6
Musical,1992,6,40,6
Play,1992,6,40,6
Ballet,1992,6,40,6
Art Museum,1992,6,40,6
Craft Fair,1992,6,40,6
Parks,1992,6,40,6
Craft Fair,1992,7,37,2
Craft Fair,1992,7,38,3
Craft Fair,1992,11,59,3
Parks,1992,18,45,2
Craft Fair,1992,10,36,4
Craft Fair,1992,10,25,5
Parks,1992,10,25,5
Craft Fair,1992,2,31,3
Jazz,1992,6,25,4
Dance,1992,6,25,4
Art Museum,1992,6,25,4
Craft Fair,1992,6,25,4
Parks,1992,6,25,4
Art Museum,1992,3,28,3
Art Museum,1992,3,30,3
Jazz,1992,7,24,3
Musical,1992,7,24,3
Craft Fair,1992,7,24,3
Jazz,1992,18,26,3
Musical,1992,18,26,3
Play,1992,18,26,3
Art Museum,1992,18,26,3
Parks,1992,18,26,3
Play,1992,18,30,5
Dance,1992,18,30,5
Art Museum,1992,18,30,5
Craft Fair,1992,18,30,5
Parks,1992,18,30,5
Musical,1992,18,48,4
Musical,1992,18,53,5
Craft Fair,1992,18,53,5
Jazz,1992,13,22,4
Play,1992,13,22,4
Art Museum,1992,13,22,4
Parks,1992,13,22,4
Classical,1992,6,68,4
Musical,1992,6,68,4
Ballet,1992,6,68,4
Art Museum,1992,6,68,4
Craft Fair,1992,6,68,4
Parks,1992,6,68,4
Musical,1992,18,68,6
Play,1992,18,68,6
Art Museum,1992,18,68,6
Parks,1992,18,68,6
Play,1992,2,67,1
Ballet,1992,2,67,1
Play,1992,2,71,2
Ballet,1992,2,71,2
Ballet,1992,13,36,4
Art Museum,1992,13,36,4
Play,1992,-3,56,4
Play,1992,-3,59,4
Classical,1992,18,48,3
Opera,1992,18,48,3
Classical,1992,18,53,6
Opera,1992,18,53,6
Parks,1992,4,32,3
Parks,1992,4,33,3
Parks,1992,4,56,1
Classical,1992,13,75,6
Art Museum,1992,13,75,6
Parks,1992,13,75,6
Classical,1992,13,62,3
Art Museum,1992,13,62,3
Craft Fair,1992,13,62,3
Parks,1992,13,62,3
Jazz,1992,13,34,5
Art Museum,1992,13,34,5
Craft Fair,1992,13,34,5
Parks,1992,13,34,5
Art Museum,1992,13,33,5
Art Museum,1992,18,61,6
Craft Fair,1992,18,61,6
Parks,1992,18,61,6
Classical,1992,18,59,4
Art Museum,1992,18,59,4
Craft Fair,1992,18,59,4
Parks,1992,18,59,4
Musical,1992,-3,25,5
Play,1992,-3,25,5
Ballet,1992,-3,25,5
Art Museum,1992,-3,25,5
Craft Fair,1992,-3,25,5
Parks,1992,-3,25,5
Musical,1992,-3,33,5
Play,1992,-3,33,5
Ballet,1992,-3,33,5
Art Museum,1992,-3,33,5
Craft Fair,1992,-3,33,5
Parks,1992,-3,33,5
Jazz,1992,10,43,4
Classical,1992,10,43,4
Musical,1992,10,43,4
Play,1992,10,43,4
Art Museum,1992,10,43,4
Craft Fair,1992,10,43,4
Parks,1992,10,43,4
Jazz,1992,7,39,5
Classical,1992,7,39,5
Musical,1992,7,39,5
Play,1992,7,39,5
Art Museum,1992,7,39,5
Craft Fair,1992,7,39,5
Parks,1992,7,39,5
Jazz,1992,10,26,4
Classical,1992,10,26,4
Opera,1992,10,26,4
Musical,1992,10,26,4
Dance,1992,10,26,4
Craft Fair,1992,10,26,4
Parks,1992,10,26,4
Jazz,1992,11,26,5
Classical,1992,11,26,5
Art Museum,1992,11,26,5
Craft Fair,1992,11,26,5
Parks,1992,11,26,5
Classical,1992,9,33,5
Musical,1992,9,33,5
Play,1992,9,33,5
Ballet,1992,9,33,5
Dance,1992,9,33,5
Art Museum,1992,9,33,5
Parks,1992,9,33,5
Jazz,1992,9,39,5
Classical,1992,9,39,5
Opera,1992,9,39,5
Musical,1992,9,39,5
Play,1992,9,39,5
Ballet,1992,9,39,5
Dance,1992,9,39,5
Art Museum,1992,9,39,5
Craft Fair,1992,9,39,5
Parks,1992,9,39,5
Jazz,1992,9,40,4
Musical,1992,9,40,4
Jazz,1992,9,47,3
Musical,1992,9,47,3
Craft Fair,1992,9,19,2
Jazz,1992,6,35,4
Opera,1992,6,35,4
Musical,1992,6,35,4
Play,1992,6,35,4
Ballet,1992,6,35,4
Dance,1992,6,35,4
Art Museum,1992,6,35,4
Craft Fair,1992,6,35,4
Parks,1992,6,35,4
Musical,1992,10,26,5
Play,1992,10,26,5
Craft Fair,1992,10,26,5
Parks,1992,10,26,5
Musical,1992,10,25,5
Art Museum,1992,10,25,5
Craft Fair,1992,10,25,5
Parks,1992,10,25,5
Jazz,1992,8,24,5
Classical,1992,8,24,5
Musical,1992,8,24,5
Art Museum,1992,8,24,5
Craft Fair,1992,8,24,5
Parks,1992,8,24,5
Parks,1992,11,60,3
Parks,1992,11,56,3
Craft Fair,1992,13,29,3
Craft Fair,1992,13,30,4
Craft Fair,1992,4,83,3
Craft Fair,1992,11,40,3
Parks,1992,11,40,3
Dance,1992,11,35,3
Dance,1992,11,42,1
Art Museum,1992,9,39,3
Craft Fair,1992,9,39,3
Dance,1992,9,23,3
Art Museum,1992,9,23,3
Craft Fair,1992,9,23,3
Jazz,1992,8,24,5
Play,1992,8,24,5
Art Museum,1992,8,24,5
Craft Fair,1992,8,24,5
Parks,1992,8,24,5
Ballet,1992,11,35,6
Art Museum,1992,11,35,6
Craft Fair,1992,11,35,6
Parks,1992,11,35,6
Ballet,1992,11,33,3
Art Museum,1992,11,33,3
Craft Fair,1992,11,33,3
Parks,1992,11,33,3
Classical,1992,18,55,3
Musical,1992,18,55,3
Craft Fair,1992,18,55,3
Musical,1992,13,41,4
Dance,1992,13,41,4
Art Museum,1992,13,41,4
Craft Fair,1992,13,41,4
Parks,1992,13,41,4
Musical,1992,13,41,5
Play,1992,13,41,5
Art Museum,1992,13,41,5
Parks,1992,13,41,5
Jazz,1992,11,34,6
Musical,1992,11,34,6
Art Museum,1992,11,34,6
Craft Fair,1992,11,34,6
Parks,1992,11,34,6
Jazz,1992,11,32,6
Musical,1992,11,32,6
Art Museum,1992,11,32,6
Craft Fair,1992,11,32,6
Parks,1992,11,32,6
Craft Fair,1992,6,69,3
Classical,1992,13,62,3
Musical,1992,13,62,3
Ballet,1992,13,62,3
Art Museum,1992,13,62,3
Craft Fair,1992,13,62,3
Parks,1992,13,62,3
Musical,1992,13,62,3
Classical,1992,18,35,6
Craft Fair,1992,18,35,6
Opera,1992,18,41,6
Jazz,1992,18,38,6
Art Museum,1992,18,38,6
Craft Fair,1992,18,38,6
Parks,1992,18,38,6
Play,1992,18,32,3
Ballet,1992,18,32,3
Art Museum,1992,18,32,3
Parks,1992,18,32,3
Musical,1992,13,38,3
Play,1992,13,38,3
Ballet,1992,13,38,3
Dance,1992,13,38,3
Art Museum,1992,13,38,3
Craft Fair,1992,13,38,3
Parks,1992,13,38,3
Dance,1992,13,38,2
Craft Fair,1992,13,38,2
Parks,1992,13,38,2
Musical,1992,11,32,4
Ballet,1992,11,32,4
Dance,1992,11,32,4
Craft Fair,1992,11,32,4
Parks,1992,11,32,4
Dance,1992,7,54,4
Craft Fair,1992,7,54,4
Parks,1992,7,54,4
Jazz,1992,8,28,4
Musical,1992,8,28,4
Play,1992,8,28,4
Dance,1992,8,28,4
Art Museum,1992,8,28,4
Craft Fair,1992,8,28,4
Parks,1992,8,28,4
Jazz,1992,9,33,5
Classical,1992,9,33,5
Opera,1992,9,33,5
Musical,1992,9,33,5
Play,1992,9,33,5
Art Museum,1992,9,33,5
Craft Fair,1992,9,33,5
Parks,1992,9,33,5
Classical,1992,-3,31,5
Parks,1992,-3,31,5
Classical,1992,-3,42,5
Parks,1992,-3,42,5
Jazz,1992,9,47,4
Art Museum,1992,9,47,4
Craft Fair,1992,9,47,4
Parks,1992,9,47,4
Parks,1992,10,54,3
Jazz,1992,10,24,3
Ballet,1992,10,24,3
Dance,1992,10,24,3
Art Museum,1992,10,24,3
Craft Fair,1992,10,24,3
Parks,1992,10,24,3
Craft Fair,1992,10,22,3
Parks,1992,10,22,3
Classical,1992,18,52,6
Opera,1992,18,52,6
Musical,1992,18,52,6
Play,1992,18,52,6
Art Museum,1992,18,52,6
Craft Fair,1992,18,52,6
Parks,1992,18,52,6
Classical,1992,18,55,6
Art Museum,1992,4,66,3
Dance,1992,4,71,4
Jazz,1992,-3,20,4
Classical,1992,-3,20,4
Musical,1992,-3,20,4
Art Museum,1992,-3,20,4
Craft Fair,1992,-3,20,4
Parks,1992,-3,20,4
Craft Fair,1992,6,57,3
Craft Fair,1992,6,67,3
Jazz,1992,-3,38,6
Classical,1992,-3,38,6
Musical,1992,-3,38,6
Play,1992,-3,38,6
Ballet,1992,-3,38,6
Art Museum,1992,-3,38,6
Craft Fair,1992,-3,38,6
Parks,1992,-3,38,6
Play,1992,-3,39,4
Art Museum,1992,-3,39,4
Craft Fair,1992,-3,39,4
Parks,1992,-3,39,4
Play,1992,18,30,6
Dance,1992,18,30,6
Art Museum,1992,18,30,6
Craft Fair,1992,18,30,6
Parks,1992,18,30,6
Musical,1992,18,28,6
Play,1992,18,28,6
Dance,1992,18,28,6
Art Museum,1992,18,28,6
Craft Fair,1992,18,28,6
Parks,1992,18,28,6
Classical,1992,3,71,3
Play,1992,3,71,3
Ballet,1992,3,71,3
Dance,1992,3,71,3
Art Museum,1992,3,71,3
Craft Fair,1992,3,71,3
Parks,1992,3,71,3
Jazz,1992,18,63,4
Classical,1992,18,63,4
Musical,1992,18,63,4
Play,1992,18,63,4
Ballet,1992,18,63,4
Art Museum,1992,18,63,4
Parks,1992,18,63,4
Classical,1992,18,64,4
Musical,1992,18,64,4
Craft Fair,1992,18,64,4
Parks,1992,18,64,4
Musical,1992,18,57,6
Ballet,1992,18,57,6
Parks,1992,18,57,6
Classical,1992,18,55,6
Opera,1992,18,55,6
Musical,1992,18,55,6
Play,1992,18,55,6
Dance,1992,18,55,6
Art Museum,1992,18,55,6
Craft Fair,1992,18,55,6
Parks,1992,18,55,6
Ballet,1992,13,39,3
Craft Fair,1992,13,39,3
Parks,1992,13,39,3
Musical,1992,13,39,3
Play,1992,13,39,3
Craft Fair,1992,13,39,3
Play,1992,13,18,2
Ballet,1992,13,18,2
Craft Fair,1992,13,18,2
Craft Fair,1992,4,29,2
Parks,1992,4,29,2
Parks,1992,7,24,3
Craft Fair,1992,7,24,3
Parks,1992,7,24,3
Craft Fair,1992,13,54,3
Musical,1992,13,52,5
Art Museum,1992,13,52,5
Craft Fair,1992,13,52,5
Play,1992,7,45,3
Art Museum,1992,7,45,3
Craft Fair,1992,7,45,3
Parks,1992,7,45,3
Musical,1992,7,47,4
Craft Fair,1992,7,47,4
Parks,1992,7,47,4
Craft Fair,1992,18,41,3
Craft Fair,1992,18,44,4
Parks,1992,18,44,4
Musical,1992,13,45,4
Dance,1992,13,45,4
Craft Fair,1992,13,45,4
Parks,1992,13,45,4
Craft Fair,1992,4,30,3
Parks,1992,8,32,3
Craft Fair,1992,8,29,3
Craft Fair,1992,8,29,3
Classical,1992,6,68,5
Art Museum,1992,6,68,5
Craft Fair,1992,6,68,5
Parks,1992,6,68,5
Craft Fair,1992,-3,37,4
Parks,1992,-3,37,4
Craft Fair,1992,-3,34,4
Parks,1992,-3,34,4
Classical,1992,11,46,6
Musical,1992,11,46,6
Play,1992,11,46,6
Dance,1992,11,46,6
Art Museum,1992,11,46,6
Craft Fair,1992,11,46,6
Parks,1992,11,46,6
Musical,1992,11,44,6
Play,1992,11,44,6
Art Museum,1992,11,44,6
Craft Fair,1992,11,44,6
Parks,1992,11,44,6
Play,1992,10,38,6
Ballet,1992,10,38,6
Art Museum,1992,10,38,6
Craft Fair,1992,10,38,6
Parks,1992,10,38,6
Musical,1992,10,32,6
Play,1992,10,32,6
Ballet,1992,10,32,6
Art Museum,1992,10,32,6
Craft Fair,1992,10,32,6
Parks,1992,10,32,6
Jazz,1992,5,44,5
Classical,1992,5,44,5
Play,1992,5,44,5
Craft Fair,1992,5,44,5
Parks,1992,5,44,5
Play,1992,11,39,6
Art Museum,1992,11,39,6
Craft Fair,1992,11,39,6
Parks,1992,11,39,6
Musical,1992,11,39,6
Play,1992,11,39,6
Art Museum,1992,11,39,6
Craft Fair,1992,11,39,6
Parks,1992,11,39,6
Classical,1992,-3,51,6
Dance,1992,-3,51,6
Art Museum,1992,-3,51,6
Craft Fair,1992,-3,51,6
Parks,1992,-3,51,6
Classical,1992,-3,46,6
Art Museum,1992,-3,46,6
Craft Fair,1992,-3,46,6
Parks,1992,10,42,6
Classical,1992,10,36,4
Parks,1992,18,45,5
Parks,1992,18,39,3
Art Museum,1992,13,43,5
Craft Fair,1992,13,43,5
Parks,1992,13,43,5
Art Museum,1992,13,41,6
Craft Fair,1992,13,41,6
Parks,1992,13,41,6
Craft Fair,1992,10,27,4
Art Museum,1992,18,29,5
Craft Fair,1992,18,29,5
Art Museum,1992,18,29,5
Craft Fair,1992,18,29,5
Classical,1992,11,55,5
Musical,1992,11,55,5
Play,1992,11,55,5
Ballet,1992,11,55,5
Art Museum,1992,11,55,5
Craft Fair,1992,11,55,5
Parks,1992,11,55,5
Play,1992,9,27,4
Art Museum,1992,9,27,4
Craft Fair,1992,9,27,4
Parks,1992,9,27,4
Play,1992,9,34,4
Art Museum,1992,9,34,4
Craft Fair,1992,9,34,4
Parks,1992,9,34,4
Ballet,1992,7,75,3
Craft Fair,1992,7,75,3
Parks,1992,7,75,3
Ballet,1992,7,82,3
Classical,1992,13,32,6
Musical,1992,13,32,6
Craft Fair,1992,13,32,6
Art Museum,1992,9,23,3
Craft Fair,1992,9,23,3
Jazz,1992,9,48,4
Parks,1992,9,48,4
Craft Fair,1992,9,19,3
Jazz,1992,9,37,3
Dance,1992,9,37,3
Craft Fair,1992,9,37,3
Art Museum,1992,9,32,6
Craft Fair,1992,9,32,6
Parks,1992,9,32,6
Ballet,1992,10,28,4
Dance,1992,10,28,4
Art Museum,1992,10,28,4
Craft Fair,1992,10,28,4
Parks,1992,10,28,4
Craft Fair,1992,10,24,4
Musical,1992,18,62,3
Craft Fair,1992,18,62,3
Parks,1992,18,62,3
Classical,1992,7,81,6
Dance,1992,7,81,6
Craft Fair,1992,7,81,6
Classical,1992,7,73,4
Musical,1992,7,73,4
Art Museum,1992,7,73,4
Craft Fair,1992,7,73,4
Parks,1992,7,73,4
Musical,1992,8,53,4
Craft Fair,1992,8,53,4
Art Museum,1992,8,58,3
Parks,1992,8,58,3
Classical,1992,8,29,3
Craft Fair,1992,8,29,3
Parks,1992,8,29,3
Craft Fair,1992,9,42,6
Craft Fair,1992,9,39,4
